noise_id,noise_condition,noise_family,noise_severity,signal_region,expected_effect,recommended_metric,related_metric_ids,review_status,claim_boundary_status,ml_readiness,public_safety_boundary,notes
noise_001,baseline_wander,low_frequency_artifact,low,global_signal,slow baseline drift may distort amplitude-sensitive morphology review,st_segment_deviation_error,"mm_004,mm_010",draft,review_required,validation_candidate,public_safe_synthetic,"Synthetic registry row for low-severity baseline wander; no clinical claim"
noise_002,baseline_wander,low_frequency_artifact,moderate,st_segment,baseline drift may affect ST-segment and beat-to-beat consistency review,st_segment_deviation_error,"mm_004,mm_010",draft,review_required,validation_candidate,public_safe_synthetic,"Moderate baseline wander aligned to existing benchmark registry coverage"
noise_003,powerline_interference,periodic_artifact,moderate,qrs_complex,periodic interference may affect QRS boundary and amplitude review,qrs_duration_error,"mm_002,mm_003",draft,review_required,validation_candidate,public_safe_synthetic,"Synthetic row for powerline interference; no device or diagnostic claim"
noise_004,muscle_artifact,high_frequency_artifact,high,qrs_complex,high-frequency artifact may introduce false peaks and morphology distortion,false_peak_rate,"mm_008,mm_009",draft,review_required,validation_candidate,public_safe_synthetic,"Supports future false-peak and distortion review under synthetic conditions"
noise_005,electrode_motion,motion_artifact,high,st_segment,motion artifact may distort local amplitude and segment-level morphology,st_segment_deviation_error,"mm_004,mm_009",draft,review_required,validation_candidate,public_safe_synthetic,"Clinical-adjacent metric remains benchmark-planning only"
noise_006,white_noise,random_artifact,moderate,p_wave,random noise may reduce visibility of lower-amplitude waveform components,p_wave_preservation_score,"mm_005,mm_007",draft,review_required,feature_candidate,public_safe_synthetic,"P-wave preservation score requires reviewer or annotation protocol before validation"
noise_007,mixed_noise,composite_artifact,high,t_wave,combined artifacts may affect T-wave morphology and beat agreement,t_wave_preservation_score,"mm_006,mm_007,mm_009",draft,review_required,validation_candidate,public_safe_synthetic,"Synthetic mixed-noise condition for robustness and benchmark expansion"
noise_008,mixed_noise,composite_artifact,extreme,global_signal,extreme composite noise may create distortion flags and reduce interpretability,morphology_distortion_flag_rate,"mm_008,mm_009,mm_010",draft,review_required,evaluation_candidate,public_safe_synthetic,"Extreme mixed-noise row supports failure-mode review only"
noise_009,unknown_or_unclassified,uncertainty_category,unknown,global_signal,unknown noise type requires uncertainty handling before interpretation,beat_to_beat_consistency_error,"mm_009,mm_010",draft,review_required,feature_candidate,public_safe_synthetic,"Unknown category retained to test uncertainty labeling and claim-boundary discipline"
noise_010,signal_dropout,missingness_artifact,high,global_signal,dropout may remove or obscure waveform components and create false morphology stability,morphology_distortion_flag_rate,"mm_007,mm_009,mm_010",draft,review_required,feature_candidate,public_safe_synthetic,"Synthetic missingness condition added for future benchmark expansion; no clinical or device claim"
